date,state,district,rainfall,RH,tmin,tmax,occurred
01-01-2013,ASSAM,BARPETA,0,71.14,10.18,24.25,NO
02-01-2013,ASSAM,BARPETA,0,73.92,9.31,25.12,YES
03-01-2013,ASSAM,BARPETA,0,78.75,10.79,24.93,YES
04-01-2013,ASSAM,BARPETA,0,80.26,11.09,24.71,YES
05-01-2013,ASSAM,BARPETA,0,74.99,10.92,21.24,NO
06-01-2013,ASSAM,BARPETA,0,69.7,9.83,21.75,NO
07-01-2013,ASSAM,BARPETA,0.13,66.4,8.64,20.32,NO
08-01-2013,ASSAM,BARPETA,0,64.24,7.92,19.91,NO
09-01-2013,ASSAM,BARPETA,0,63.29,5.32,14.94,NO
10-01-2013,ASSAM,BARPETA,0,69.18,5.7,16.12,NO
11-01-2013,ASSAM,BARPETA,0,72.19,5.83,17.72,NO
12-01-2013,ASSAM,BARPETA,0,72.87,6.8,22.01,NO
13-01-2013,ASSAM,BARPETA,0,77.19,7.71,22.33,YES
14-01-2013,ASSAM,BARPETA,0,74.51,8.18,22.72,YES
15-01-2013,ASSAM,BARPETA,0,77.53,9.61,23.06,YES
16-01-2013,ASSAM,BARPETA,0,76.52,10.22,24.24,YES
17-01-2013,ASSAM,BARPETA,0,75.82,10.13,23.86,YES
18-01-2013,ASSAM,BARPETA,0.34,80.22,10.48,24.45,YES
19-01-2013,ASSAM,BARPETA,0.07,74.64,10.33,25,YES
20-01-2013,ASSAM,BARPETA,0,75.69,11.66,24.96,YES
21-01-2013,ASSAM,BARPETA,0,67.69,10.67,24.99,NO
22-01-2013,ASSAM,BARPETA,0,70.8,10.58,24.62,YES
23-01-2013,ASSAM,BARPETA,0,63.95,9.29,25.31,NO
24-01-2013,ASSAM,BARPETA,0,62.28,9.32,23.81,YES
25-01-2013,ASSAM,BARPETA,0,61.46,9.54,20.23,NO
26-01-2013,ASSAM,BARPETA,0,63.26,8.73,19.8,YES
27-01-2013,ASSAM,BARPETA,0,63.25,7.72,21.39,YES
28-01-2013,ASSAM,BARPETA,0,68.51,8.94,24.09,YES
29-01-2013,ASSAM,BARPETA,0,72.78,9.45,25.37,YES
30-01-2013,ASSAM,BARPETA,0,71.04,10.73,25.63,YES
31-01-2013,ASSAM,BARPETA,0,67.24,11.02,25.73,YES
01-02-2013,ASSAM,BARPETA,0,74.35,11.1,23.52,NO
02-02-2013,ASSAM,BARPETA,0,70.06,11.09,26.12,YES
03-02-2013,ASSAM,BARPETA,0,72.4,13.8,25.88,YES
04-02-2013,ASSAM,BARPETA,0.2,71.33,10.64,26.87,YES
05-02-2013,ASSAM,BARPETA,0.23,75.37,10.96,28.03,YES
06-02-2013,ASSAM,BARPETA,0,69.25,12.82,28.51,YES
07-02-2013,ASSAM,BARPETA,0,68.83,13.27,27.36,YES
08-02-2013,ASSAM,BARPETA,0,62.94,15.09,24.66,YES
09-02-2013,ASSAM,BARPETA,0,56.76,11.81,25.73,YES
10-02-2013,ASSAM,BARPETA,0,59.83,11.78,27.48,YES
11-02-2013,ASSAM,BARPETA,0,58.18,12.95,27.47,YES
12-02-2013,ASSAM,BARPETA,0,58.82,14.05,27.35,YES
13-02-2013,ASSAM,BARPETA,0,58.37,13.74,28.5,YES
14-02-2013,ASSAM,BARPETA,0,55.22,13.8,27.41,NO
15-02-2013,ASSAM,BARPETA,0.14,59.44,13.3,27.22,YES
16-02-2013,ASSAM,BARPETA,5.68,62.19,14.9,25.04,NO
17-02-2013,ASSAM,BARPETA,8.35,86.96,16.98,19.86,NO
18-02-2013,ASSAM,BARPETA,0,73.69,13.35,22.56,NO
19-02-2013,ASSAM,BARPETA,0,66.72,13.02,24.25,NO
20-02-2013,ASSAM,BARPETA,0.45,70.1,12.3,25.59,YES
21-02-2013,ASSAM,BARPETA,0,64.64,13.42,27.54,YES
22-02-2013,ASSAM,BARPETA,0,67.35,13.01,29.27,NO
23-02-2013,ASSAM,BARPETA,0,70.68,13.87,29.66,NO
24-02-2013,ASSAM,BARPETA,0,64.41,14.16,30.31,NO
