date,state,district,rainfall,RH,tmin,tmax,occurred
2010-01-01,ASSAM,BARPETA,0.0,85.25,11.07,23.41,NO
2010-02-01,ASSAM,BARPETA,0.0,75.54,9.65,24.52,NO
2010-03-01,ASSAM,BARPETA,0.0,74.95,10.07,26.2,YES
2010-04-01,ASSAM,BARPETA,0.0,78.25,10.92,21.66,NO
2010-05-01,ASSAM,BARPETA,0.0,75.16,11.8,19.87,YES
2010-06-01,ASSAM,BARPETA,0.0,78.22,10.11,24.78,YES
2010-07-01,ASSAM,BARPETA,0.0,75.24,8.89,26.06,YES
2010-08-01,ASSAM,BARPETA,0.0,76.74,9.61,26.23,YES
2010-09-01,ASSAM,BARPETA,0.0,78.19,11.06,26.81,YES
2010-10-01,ASSAM,BARPETA,0.0,80.08,10.9,26.27,YES
2010-11-01,ASSAM,BARPETA,0.0,75.68,12.03,20.0,NO
2010-12-01,ASSAM,BARPETA,0.0,77.74,12.68,15.32,YES
2010-01-13,ASSAM,BARPETA,0.0,77.13,13.28,16.69,NO
2010-01-14,ASSAM,BARPETA,0.0,81.17,10.3,22.69,YES
2010-01-15,ASSAM,BARPETA,0.0,82.15,10.82,22.99,NO
2010-01-16,ASSAM,BARPETA,0.0,76.7,13.06,18.56,NO
2010-01-17,ASSAM,BARPETA,0.0,73.29,11.15,22.8,NO
2010-01-18,ASSAM,BARPETA,0.0,68.73,10.14,26.91,NO
2010-01-19,ASSAM,BARPETA,0.0,73.63,12.45,26.06,YES
2010-01-20,ASSAM,BARPETA,0.0,74.06,11.58,24.38,NO
2010-01-21,ASSAM,BARPETA,0.0,72.68,11.63,27.13,YES
2010-01-22,ASSAM,BARPETA,0.0,69.1,11.25,27.94,YES
2010-01-23,ASSAM,BARPETA,0.0,68.68,10.88,28.2,YES
2010-01-24,ASSAM,BARPETA,0.0,71.54,10.76,27.24,YES
2010-01-25,ASSAM,BARPETA,0.0,67.4,12.22,28.7,YES
2010-01-26,ASSAM,BARPETA,0.0,66.89,10.49,28.19,YES
2010-01-27,ASSAM,BARPETA,0.0,72.24,10.97,27.64,YES
2010-01-28,ASSAM,BARPETA,0.0,74.71,12.47,26.94,YES
2010-01-29,ASSAM,BARPETA,0.0,76.49,11.2,27.71,NO
2010-01-30,ASSAM,BARPETA,0.0,76.58,11.56,26.81,YES
2010-01-31,ASSAM,BARPETA,0.0,77.63,10.98,26.98,NO
2010-01-02,ASSAM,BARPETA,0.0,77.58,12.01,27.27,YES
2010-02-02,ASSAM,BARPETA,0.0,72.02,11.21,27.44,NO
2010-03-02,ASSAM,BARPETA,0.0,69.97,12.04,26.27,NO
2010-04-02,ASSAM,BARPETA,0.0,71.62,8.92,27.1,YES
2010-05-02,ASSAM,BARPETA,0.0,66.11,9.71,27.04,NO
2010-06-02,ASSAM,BARPETA,0.0,69.83,9.94,27.63,YES
2010-07-02,ASSAM,BARPETA,0.0,68.32,10.31,28.54,NO
