date,state,district,rainfall,RH,tmin,tmax,occurred
01-01-2010,CHHATISGARH,BALOD,0,57.87,11.62,25.57,NO
02-01-2010,CHHATISGARH,BALOD,0,48.21,11.97,25.57,NO
03-01-2010,CHHATISGARH,BALOD,0,46,9.92,26.55,NO
04-01-2010,CHHATISGARH,BALOD,0,51.09,12.33,27.4,NO
05-01-2010,CHHATISGARH,BALOD,0,58.52,13.29,25.88,NO
06-01-2010,CHHATISGARH,BALOD,0,50.38,11.67,25.26,NO
07-01-2010,CHHATISGARH,BALOD,0,51.66,10.4,25.52,NO
08-01-2010,CHHATISGARH,BALOD,0,51.17,12.51,25.87,NO
09-01-2010,CHHATISGARH,BALOD,0,50.19,13.54,28.18,NO
10-01-2010,CHHATISGARH,BALOD,0,55.03,16.06,27.72,NO
11-01-2010,CHHATISGARH,BALOD,0,55.52,15.21,29.64,NO
12-01-2010,CHHATISGARH,BALOD,0.53,71.71,17.42,18.59,NO
13-01-2010,CHHATISGARH,BALOD,5.49,89.24,18.07,21.7,NO
14-01-2010,CHHATISGARH,BALOD,2.31,73.59,19.69,25.88,NO
15-01-2010,CHHATISGARH,BALOD,0,58.12,14.99,24.72,NO
16-01-2010,CHHATISGARH,BALOD,0,49.01,13.03,25.54,NO
17-01-2010,CHHATISGARH,BALOD,0,48.74,12.86,26.97,NO
18-01-2010,CHHATISGARH,BALOD,0,46.54,11.6,27.08,NO
19-01-2010,CHHATISGARH,BALOD,0,39.23,10.75,27.28,NO
20-01-2010,CHHATISGARH,BALOD,0,40.75,9.65,26.47,NO
21-01-2010,CHHATISGARH,BALOD,0,38.99,11.02,27.29,NO
22-01-2010,CHHATISGARH,BALOD,0,39.19,8.6,27.56,NO
23-01-2010,CHHATISGARH,BALOD,0,39.04,9.57,28.43,NO
24-01-2010,CHHATISGARH,BALOD,0,40.29,11.6,29,NO
25-01-2010,CHHATISGARH,BALOD,0,40.94,12.45,28.62,NO
26-01-2010,CHHATISGARH,BALOD,0,39.67,12.39,29.05,NO
27-01-2010,CHHATISGARH,BALOD,0,39.15,12.25,28.19,NO
28-01-2010,CHHATISGARH,BALOD,0,37.64,13.36,28.89,NO
29-01-2010,CHHATISGARH,BALOD,0,34.58,12.77,28.91,NO
30-01-2010,CHHATISGARH,BALOD,0,34.99,11.34,28.57,NO
31-01-2010,CHHATISGARH,BALOD,0,38.59,12.12,29.33,NO
01-02-2010,CHHATISGARH,BALOD,0,43.05,12.68,30.06,NO
02-02-2010,CHHATISGARH,BALOD,0,44.51,14.9,30.38,NO
03-02-2010,CHHATISGARH,BALOD,0,49.43,17.08,29.42,NO
04-02-2010,CHHATISGARH,BALOD,2.78,66.19,16,28.4,NO
05-02-2010,CHHATISGARH,BALOD,5.61,49.24,14.63,27.05,NO
06-02-2010,CHHATISGARH,BALOD,0,36.16,13.75,29.5,NO
07-02-2010,CHHATISGARH,BALOD,0,35.17,12.85,30.49,NO
08-02-2010,CHHATISGARH,BALOD,0,36.21,15.84,31.29,NO
09-02-2010,CHHATISGARH,BALOD,0,38.91,15.95,32.59,NO
10-02-2010,CHHATISGARH,BALOD,0,42.98,18.59,29.73,NO
11-02-2010,CHHATISGARH,BALOD,0,43.05,17.23,32.31,NO
12-02-2010,CHHATISGARH,BALOD,0,38.53,17.12,32.45,NO
13-02-2010,CHHATISGARH,BALOD,0,39.32,18.76,33.55,NO
14-02-2010,CHHATISGARH,BALOD,0,44.28,20.15,32.68,NO
15-02-2010,CHHATISGARH,BALOD,0,46.68,20.18,34.26,NO
16-02-2010,CHHATISGARH,BALOD,0.97,46.52,21.3,33.18,NO
17-02-2010,CHHATISGARH,BALOD,0.03,42.84,20.36,30.88,NO
18-02-2010,CHHATISGARH,BALOD,0,34.16,18.59,31.52,NO
19-02-2010,CHHATISGARH,BALOD,0,32.38,17.47,31.21,NO
20-02-2010,CHHATISGARH,BALOD,0,28.63,19.02,32.57,NO
21-02-2010,CHHATISGARH,BALOD,0,30.01,18.2,33.42,NO
22-02-2010,CHHATISGARH,BALOD,0,30.03,17.6,32.58,NO
23-02-2010,CHHATISGARH,BALOD,0.54,38.95,19.07,33.63,NO
24-02-2010,CHHATISGARH,BALOD,3.68,34.25,20.22,33.29,NO
25-02-2010,CHHATISGARH,BALOD,0,30.88,18.08,33.59,NO
26-02-2010,CHHATISGARH,BALOD,0,28.45,19.68,33.73,NO
27-02-2010,CHHATISGARH,BALOD,0,25.33,19.22,33.96,NO
28-02-2010,CHHATISGARH,BALOD,0,22.12,16.7,36.09,NO
01-03-2010,CHHATISGARH,BALOD,0,19.15,18.57,36.81,NO
02-03-2010,CHHATTISGARH,BALOD,0,23.66,20.06,36.98,YES
03-03-2010,CHHATISGARH,BALOD,0,27.32,21.08,37.08,NO
04-03-2010,CHHATISGARH,BALOD,0,28.89,21.95,36.94,NO
05-03-2010,CHHATISGARH,BALOD,0,27.3,22.02,36.75,NO
06-03-2010,CHHATISGARH,BALOD,0,28.11,21.1,37.68,NO
07-03-2010,CHHATTISGARH,BALOD,0,28.59,22.99,36.81,YES
08-03-2010,CHHATISGARH,BALOD,0,24.13,21.95,37.2,NO
09-03-2010,CHHATTISGARH,BALOD,0,26.93,21.46,36.1,YES
10-03-2010,CHHATISGARH,BALOD,0,27.34,22.91,36.73,NO
11-03-2010,CHHATISGARH,BALOD,1.67,29.79,22.75,34.85,NO
12-03-2010,CHHATISGARH,BALOD,2.83,36.04,22.77,30.24,NO
13-03-2010,CHHATISGARH,BALOD,2.97,32.01,21.54,36.84,NO
14-03-2010,CHHATISGARH,BALOD,0,18.43,21.46,37.79,NO
