date,state,district,rainfall,RH,tmin,tmax,occurred
01-01-2012,MAHARASHTRA,AHMADNAGAR,0.03,53.25,17.81,30.62,NO
02-01-2012,MAHARASHTRA,AHMADNAGAR,0,50.07,14.73,31.5,NO
03-01-2012,MAHARASHTRA,AHMADNAGAR,0,50.59,14.29,32.6,NO
04-01-2012,MAHARASHTRA,AHMADNAGAR,0,37.95,12.25,32.79,NO
05-01-2012,MAHARASHTRA,AHMADNAGAR,0,32.43,12.57,33.03,NO
06-01-2012,MAHARASHTRA,AHMADNAGAR,0,38.05,12.07,32.79,NO
07-01-2012,MAHARASHTRA,AHMADNAGAR,0,40.13,10.58,31.89,NO
08-01-2012,MAHARASHTRA,AHMADNAGAR,0,33.14,9.53,30.24,NO
09-01-2012,MAHARASHTRA,AHMADNAGAR,0,25.01,8.14,28.46,NO
10-01-2012,MAHARASHTRA,AHMADNAGAR,0,34.99,8.53,27.14,NO
11-01-2012,MAHARASHTRA,AHMADNAGAR,0,31.79,8.3,27.55,NO
12-01-2012,MAHARASHTRA,AHMADNAGAR,0,27.12,6.55,27.94,NO
13-01-2012,MAHARASHTRA,AHMADNAGAR,0,27.23,8.83,27.83,NO
14-01-2012,MAHARASHTRA,AHMADNAGAR,0,21.86,7,28.94,NO
15-01-2012,MAHARASHTRA,AHMADNAGAR,0,23.52,6.59,29.66,NO
16-01-2012,MAHARASHTRA,AHMADNAGAR,0,33.04,8.13,31.64,NO
17-01-2012,MAHARASHTRA,AHMADNAGAR,0,44.1,8.36,32.17,NO
18-01-2012,MAHARASHTRA,AHMADNAGAR,0,56.66,9.81,28.99,NO
19-01-2012,MAHARASHTRA,AHMADNAGAR,0,53.74,8.49,26.71,NO
20-01-2012,MAHARASHTRA,AHMADNAGAR,0,32.36,8.09,27.85,NO
21-01-2012,MAHARASHTRA,AHMADNAGAR,0,33.46,8.4,28.88,NO
22-01-2012,MAHARASHTRA,AHMADNAGAR,0,52.56,10.97,30.16,NO
23-01-2012,MAHARASHTRA,AHMADNAGAR,0,46.06,14.2,30.3,NO
24-01-2012,MAHARASHTRA,AHMADNAGAR,0,36.34,14.52,30.14,NO
25-01-2012,MAHARASHTRA,AHMADNAGAR,0,39.67,13.8,30.62,NO
26-01-2012,MAHARASHTRA,AHMADNAGAR,0,44.39,13.52,29.84,NO
27-01-2012,MAHARASHTRA,AHMADNAGAR,0,43.99,11.57,30.85,NO
28-01-2012,MAHARASHTRA,AHMADNAGAR,0,31.62,14.49,29.5,NO
29-01-2012,MAHARASHTRA,AHMADNAGAR,0,24.82,9.6,29.96,NO
30-01-2012,MAHARASHTRA,AHMADNAGAR,0,38.31,11.21,30.14,NO
31-01-2012,MAHARASHTRA,AHMADNAGAR,0,42.12,15.1,30.93,NO
01-02-2012,MAHARASHTRA,AHMADNAGAR,0,48.39,15.81,29.99,NO
02-02-2012,MAHARASHTRA,AHMADNAGAR,0,37.39,14.43,31.54,NO
03-02-2012,MAHARASHTRA,AHMADNAGAR,0,30.74,14.28,30.98,NO
04-02-2012,MAHARASHTRA,AHMADNAGAR,0,34.27,12.32,32.07,NO
05-02-2012,MAHARASHTRA,AHMADNAGAR,0,36.25,14.54,32.56,NO
06-02-2012,MAHARASHTRA,AHMADNAGAR,0,33.81,14.13,32.97,NO
07-02-2012,MAHARASHTRA,AHMADNAGAR,0,27.43,14.45,32.81,NO
08-02-2012,MAHARASHTRA,AHMADNAGAR,0,11.9,12.05,28.11,NO
09-02-2012,MAHARASHTRA,AHMADNAGAR,0,11.07,6.62,28.89,NO
10-02-2012,MAHARASHTRA,AHMADNAGAR,0,14.94,6.99,30.45,NO
11-02-2012,MAHARASHTRA,AHMADNAGAR,0,27.04,9.84,32.95,NO
12-02-2012,MAHARASHTRA,AHMADNAGAR,0,29.32,11.63,34.49,YES
13-02-2012,MAHARASHTRA,AHMADNAGAR,0,30.24,12.82,34.69,NO
14-02-2012,MAHARASHTRA,AHMADNAGAR,0,32.29,12.69,34.45,NO
15-02-2012,MAHARASHTRA,AHMADNAGAR,0,22.3,15.88,32.89,NO
16-02-2012,MAHARASHTRA,AHMADNAGAR,0,18.98,12.06,31.32,NO
17-02-2012,MAHARASHTRA,AHMADNAGAR,0,19.26,9.87,33.06,NO
18-02-2012,MAHARASHTRA,AHMADNAGAR,0,29.33,13.46,34.86,NO
19-02-2012,MAHARASHTRA,AHMADNAGAR,0,27.04,15.56,35.88,NO
20-02-2012,MAHARASHTRA,AHMADNAGAR,0,23.13,15.01,35.2,NO
21-02-2012,MAHARASHTRA,AHMADNAGAR,0,17.95,14.5,36.13,NO
22-02-2012,MAHARASHTRA,AHMADNAGAR,0,16.26,13.87,37.11,NO
23-02-2012,MAHARASHTRA,AHMADNAGAR,0,17.63,15.51,36.28,YES
24-02-2012,MAHARASHTRA,AHMADNAGAR,0,17.56,15.33,36.32,NO
25-02-2012,MAHARASHTRA,AHMADNAGAR,0,16.49,14.63,36.08,NO
26-02-2012,MAHARASHTRA,AHMADNAGAR,0,17.32,14.44,36.3,NO
27-02-2012,MAHARASHTRA,AHMADNAGAR,0,16.78,14.79,37.15,YES
28-02-2012,MAHARASHTRA,AHMADNAGAR,0,15.18,15.18,36.64,YES
29-02-2012,MAHARASHTRA,AHMADNAGAR,0,24.71,12.12,34.95,NO
01-03-2012,MAHARASHTRA,AHMADNAGAR,0,31.67,9.43,34.69,YES
02-03-2012,MAHARASHTRA,AHMADNAGAR,0,39.63,11.35,33.67,NO
03-03-2012,MAHARASHTRA,AHMADNAGAR,0,37.1,14.88,33.72,NO
04-03-2012,MAHARASHTRA,AHMADNAGAR,0,21.98,14.6,35.68,YES
05-03-2012,MAHARASHTRA,AHMADNAGAR,0,19.64,14.19,37.19,NO
06-03-2012,MAHARASHTRA,AHMADNAGAR,0,26.84,14.44,36.36,YES
07-03-2012,MAHARASHTRA,AHMADNAGAR,0,34.53,11.79,34.99,NO
08-03-2012,MAHARASHTRA,AHMADNAGAR,0,34.49,11.59,31.47,NO
09-03-2012,MAHARASHTRA,AHMADNAGAR,0,19.5,13.66,32.03,NO
10-03-2012,MAHARASHTRA,AHMADNAGAR,0,9.45,10.49,33.43,NO
11-03-2012,MAHARASHTRA,AHMADNAGAR,0,20.32,12.76,35.67,YES
12-03-2012,MAHARASHTRA,AHMADNAGAR,0,23.17,14.43,35.06,NO
13-03-2012,MAHARASHTRA,AHMADNAGAR,0,15.88,15.3,34.49,NO
14-03-2012,MAHARASHTRA,AHMADNAGAR,0,11.04,16.98,35.39,YES
15-03-2012,MAHARASHTRA,AHMADNAGAR,0,10.43,13.15,37.51,NO
16-03-2012,MAHARASHTRA,AHMADNAGAR,0,12.17,18.92,38.01,NO
17-03-2012,MAHARASHTRA,AHMADNAGAR,0,15.75,16.81,38.7,NO
18-03-2012,MAHARASHTRA,AHMADNAGAR,0,14.88,16.92,38.64,NO
19-03-2012,MAHARASHTRA,AHMADNAGAR,0,13.55,15.92,38.78,NO
20-03-2012,MAHARASHTRA,AHMADNAGAR,0,13.64,16.2,38.67,NO
21-03-2012,MAHARASHTRA,AHMADNAGAR,0,11.34,17.67,38.7,NO
22-03-2012,MAHARASHTRA,AHMADNAGAR,0,7.68,17.67,39.28,NO
23-03-2012,MAHARASHTRA,AHMADNAGAR,0,8.19,17.5,39.1,NO
