date,state,district,rainfall,RH,tmin,tmax,occurred
01-01-2018,MANIPUR,BISHNUPUR,0,86.37,9.5,24.54,NO
02-01-2018,MANIPUR,BISHNUPUR,1.94,97.1,9.54,21.11,NO
03-01-2018,MANIPUR,BISHNUPUR,0,87.64,10.67,20.64,NO
04-01-2018,MANIPUR,BISHNUPUR,0,83.6,10.27,23.08,NO
05-01-2018,MANIPUR,BISHNUPUR,0,82.71,7.57,22.68,NO
06-01-2018,MANIPUR,BISHNUPUR,0,83.82,6.68,21.96,NO
07-01-2018,MANIPUR,BISHNUPUR,0,76.76,5.21,21.2,NO
08-01-2018,MANIPUR,BISHNUPUR,0,72.61,3.53,19.97,NO
09-01-2018,MANIPUR,BISHNUPUR,0,67.7,4.44,21.83,NO
10-01-2018,MANIPUR,BISHNUPUR,0,73.95,3.1,21.4,NO
11-01-2018,MANIPUR,BISHNUPUR,0,75.04,3.78,22.23,NO
12-01-2018,MANIPUR,BISHNUPUR,0,80.18,4.7,21.52,NO
13-01-2018,MANIPUR,BISHNUPUR,0,82.27,5.61,22.11,NO
14-01-2018,MANIPUR,BISHNUPUR,0,82.5,5.62,21.93,NO
15-01-2018,MANIPUR,BISHNUPUR,0,83.73,6.25,22.53,NO
16-01-2018,MANIPUR,BISHNUPUR,0,80.6,6.83,22.53,NO
17-01-2018,MANIPUR,BISHNUPUR,0,83.33,7.5,22.89,NO
18-01-2018,MANIPUR,BISHNUPUR,0,81.18,7.34,22.98,NO
19-01-2018,MANIPUR,BISHNUPUR,0,82.64,6.72,23.19,NO
20-01-2018,MANIPUR,BISHNUPUR,0,80.51,7.28,23.91,NO
21-01-2018,MANIPUR,BISHNUPUR,0,77.56,6.87,23.52,NO
22-01-2018,MANIPUR,BISHNUPUR,0,76.3,7.24,24.24,NO
23-01-2018,MANIPUR,BISHNUPUR,0,78.62,6.02,23.85,NO
24-01-2018,MANIPUR,BISHNUPUR,0,78.25,6,23.84,NO
25-01-2018,MANIPUR,BISHNUPUR,0,80.45,6.94,23.42,NO
26-01-2018,MANIPUR,BISHNUPUR,0,77.08,7.17,23.37,NO
27-01-2018,MANIPUR,BISHNUPUR,0,73.85,5.44,23.55,YES
28-01-2018,MANIPUR,BISHNUPUR,0,69.84,4.97,22.36,NO
29-01-2018,MANIPUR,BISHNUPUR,0,73.1,3.35,21.51,NO
30-01-2018,MANIPUR,BISHNUPUR,0,68.41,2.88,21.55,NO
31-01-2018,MANIPUR,BISHNUPUR,0,59.18,3.79,20.42,NO
01-02-2018,MANIPUR,BISHNUPUR,0,75.96,5.92,21.16,NO
02-02-2018,MANIPUR,BISHNUPUR,0,78.89,8.66,19.29,NO
03-02-2018,MANIPUR,BISHNUPUR,0,81.81,8.85,23.64,NO
04-02-2018,MANIPUR,BISHNUPUR,0,81.47,9.86,23.78,NO
05-02-2018,MANIPUR,BISHNUPUR,0,78.52,9.85,23.67,NO
06-02-2018,MANIPUR,BISHNUPUR,0,79.37,9.52,26.15,NO
07-02-2018,MANIPUR,BISHNUPUR,0,77.58,8.72,24.84,NO
08-02-2018,MANIPUR,BISHNUPUR,0,81.48,10.54,25.27,NO
09-02-2018,MANIPUR,BISHNUPUR,0,75.32,10.38,24.1,NO
10-02-2018,MANIPUR,BISHNUPUR,0,80.69,9.71,25.02,NO
11-02-2018,MANIPUR,BISHNUPUR,0,73.1,11.24,24.59,NO
12-02-2018,MANIPUR,BISHNUPUR,0,70.11,9.76,26,YES
13-02-2018,MANIPUR,BISHNUPUR,0,67.85,8.09,27.35,NO
14-02-2018,MANIPUR,BISHNUPUR,0,73.68,8.14,27.66,NO
15-02-2018,MANIPUR,BISHNUPUR,0,74.48,9.8,26.94,NO
16-02-2018,MANIPUR,BISHNUPUR,0,66.31,11.08,24.62,NO
17-02-2018,MANIPUR,BISHNUPUR,0,68.73,9.39,26.63,NO
18-02-2018,MANIPUR,BISHNUPUR,0,63.63,7.82,25.87,NO
19-02-2018,MANIPUR,BISHNUPUR,0,60.8,7.67,26.99,YES
20-02-2018,MANIPUR,BISHNUPUR,0,59.35,7.35,25.89,NO
21-02-2018,MANIPUR,BISHNUPUR,0,63.74,7.3,25.71,NO
22-02-2018,MANIPUR,BISHNUPUR,0,64.24,9.16,27.06,NO
23-02-2018,MANIPUR,BISHNUPUR,0,70.21,9.94,26.37,NO
24-02-2018,MANIPUR,BISHNUPUR,0,69.32,9.39,27.02,NO
25-02-2018,MANIPUR,BISHNUPUR,0,68.79,10.57,26.16,NO
26-02-2018,MANIPUR,BISHNUPUR,4.54,80.62,12.03,28.53,NO
27-02-2018,MANIPUR,BISHNUPUR,3.52,70.38,10.61,25.22,NO
28-02-2018,MANIPUR,BISHNUPUR,0,69.21,10.6,26.63,NO
01-03-2018,MANIPUR,BISHNUPUR,0,73.4,11.51,27.04,NO
02-03-2018,MANIPUR,BISHNUPUR,0,70.79,13.18,27.48,NO
03-03-2018,MANIPUR,BISHNUPUR,0,72.25,13.62,28.91,NO
04-03-2018,MANIPUR,BISHNUPUR,0.49,69.11,15.26,28.7,NO
05-03-2018,MANIPUR,BISHNUPUR,0,70.56,12.74,30.05,NO
06-03-2018,MANIPUR,BISHNUPUR,0,64.61,13.92,29.51,NO
07-03-2018,MANIPUR,BISHNUPUR,0,53.25,14.69,30.17,NO
08-03-2018,MANIPUR,BISHNUPUR,0,58.47,10.55,30.86,NO
09-03-2018,MANIPUR,BISHNUPUR,0,57.36,12.46,29.78,NO
10-03-2018,MANIPUR,BISHNUPUR,0,52.95,11.84,30.08,NO
11-03-2018,MANIPUR,BISHNUPUR,0,53.99,11.49,29.11,NO
12-03-2018,MANIPUR,BISHNUPUR,0,56.74,11.27,29.51,NO
13-03-2018,MANIPUR,BISHNUPUR,17.1,74.75,13.16,29.08,NO
14-03-2018,MANIPUR,BISHNUPUR,5.64,67.4,9.66,17.77,NO
15-03-2018,MANIPUR,BISHNUPUR,0,71.59,13.39,26.65,NO
16-03-2018,MANIPUR,BISHNUPUR,19.07,77.24,14.99,29.12,NO
17-03-2018,MANIPUR,BISHNUPUR,0,80.15,15.48,26.13,NO
18-03-2018,MANIPUR,BISHNUPUR,7.6,71.21,14.2,28.92,NO
19-03-2018,MANIPUR,BISHNUPUR,1.33,58.68,11.27,25.84,NO
20-03-2018,MANIPUR,BISHNUPUR,0,56.33,10.48,28.9,NO
21-03-2018,MANIPUR,BISHNUPUR,0,56.05,14.34,30.39,NO
22-03-2018,MANIPUR,BISHNUPUR,0,53.93,13.3,29.23,NO
23-03-2018,MANIPUR,BISHNUPUR,0,60.29,11.51,30.32,NO
24-03-2018,MANIPUR,BISHNUPUR,0,64.65,13.33,29.12,NO
25-03-2018,MANIPUR,BISHNUPUR,0,59.47,13.33,30.67,NO
26-03-2018,MANIPUR,BISHNUPUR,0,65.98,14.76,30.43,NO
27-03-2018,MANIPUR,BISHNUPUR,6.59,69.75,11.68,29.3,NO
28-03-2018,MANIPUR,BISHNUPUR,2.61,67.39,10.86,25.96,NO
29-03-2018,MANIPUR,BISHNUPUR,1.94,71.46,16.33,28.82,NO
30-03-2018,MANIPUR,BISHNUPUR,1.56,64.49,14.88,28.96,NO
31-03-2018,MANIPUR,BISHNUPUR,1.23,56.24,13.12,30.44,NO
01-04-2018,MANIPUR,BISHNUPUR,0,60.21,13.5,26.83,NO
02-04-2018,MANIPUR,BISHNUPUR,0,58.23,15.85,30.78,NO
03-04-2018,MANIPUR,BISHNUPUR,0,68.53,14.8,29.97,NO
04-04-2018,MANIPUR,BISHNUPUR,0,62.51,14.64,30.03,NO
05-04-2018,MANIPUR,BISHNUPUR,0,67.96,14.25,28.97,NO
06-04-2018,MANIPUR,BISHNUPUR,0.63,68.88,14.25,29.1,NO
07-04-2018,MANIPUR,BISHNUPUR,0,70.18,14.7,28.17,NO
08-04-2018,MANIPUR,BISHNUPUR,0,83.88,15.65,28.17,NO
09-04-2018,MANIPUR,BISHNUPUR,18.84,77.22,16.32,27.69,NO
10-04-2018,MANIPUR,BISHNUPUR,7.74,77.59,15.75,28.73,NO
11-04-2018,MANIPUR,BISHNUPUR,2.73,76.61,16.3,28.17,NO
12-04-2018,MANIPUR,BISHNUPUR,4.47,75.88,15.4,28.79,NO
13-04-2018,MANIPUR,BISHNUPUR,3.93,73.65,15.24,28.29,NO
14-04-2018,MANIPUR,BISHNUPUR,0,71.17,15.55,28.22,NO
15-04-2018,MANIPUR,BISHNUPUR,0,69.24,16.02,28.94,NO
16-04-2018,MANIPUR,BISHNUPUR,0,61.26,17.72,33.43,NO
17-04-2018,MANIPUR,BISHNUPUR,0,70.03,16.2,31.06,NO
18-04-2018,MANIPUR,BISHNUPUR,13.36,78.33,18.27,30.69,NO
19-04-2018,MANIPUR,BISHNUPUR,10.49,75.46,16.38,29.06,NO
20-04-2018,MANIPUR,BISHNUPUR,0.6,74.63,15.91,27.74,NO
21-04-2018,MANIPUR,BISHNUPUR,2.07,79.03,16.65,27.2,NO
22-04-2018,MANIPUR,BISHNUPUR,12.01,76.76,16.84,22.63,NO
23-04-2018,MANIPUR,BISHNUPUR,2.16,72.31,21.24,28.3,NO
24-04-2018,MANIPUR,BISHNUPUR,0,58.33,16.12,30.91,NO
25-04-2018,MANIPUR,BISHNUPUR,3.4,54.73,15.05,30.2,NO
26-04-2018,MANIPUR,BISHNUPUR,0,58.93,15.28,31.5,NO
27-04-2018,MANIPUR,BISHNUPUR,0,66,16.46,29.93,NO
28-04-2018,MANIPUR,BISHNUPUR,0,68.42,14.74,30.83,NO
29-04-2018,MANIPUR,BISHNUPUR,34.46,77.5,14.67,30.88,NO
30-04-2018,MANIPUR,BISHNUPUR,0,76.9,14.82,21.96,NO
01-05-2018,MANIPUR,BISHNUPUR,0,72.44,14.43,25.7,NO
02-05-2018,MANIPUR,BISHNUPUR,0,77.02,18.36,28.74,NO
03-05-2018,MANIPUR,BISHNUPUR,10.71,75.49,18.4,22.28,NO
04-05-2018,MANIPUR,BISHNUPUR,0.54,78.02,16.69,27.26,NO
05-05-2018,MANIPUR,BISHNUPUR,30.93,86.45,17.51,25.87,NO
06-05-2018,MANIPUR,BISHNUPUR,59.22,86.67,17.32,20.24,NO
07-05-2018,MANIPUR,BISHNUPUR,12.18,84.76,18.12,25.86,NO
08-05-2018,MANIPUR,BISHNUPUR,0,85.05,18.24,25.77,NO
09-05-2018,MANIPUR,BISHNUPUR,0,84.23,18.31,26.39,NO
10-05-2018,MANIPUR,BISHNUPUR,18.72,86.64,17.18,26.49,NO
11-05-2018,MANIPUR,BISHNUPUR,5.36,80.69,15.33,22.81,NO
12-05-2018,MANIPUR,BISHNUPUR,8.24,78.49,15.7,22.54,NO
13-05-2018,MANIPUR,BISHNUPUR,0,77.49,16.62,25.49,NO
14-05-2018,MANIPUR,BISHNUPUR,0,83.54,16.87,28.19,NO
