date,state,district,rainfall,RH,tmin,tmax,occurred
2010-01-01,MANIPUR,BISHNUPUR,0.0,68.58,5.38,22.98,NO
2010-02-01,MANIPUR,BISHNUPUR,0.0,57.36,4.98,23.5,YES
2010-03-01,MANIPUR,BISHNUPUR,0.0,51.14,3.68,25.1,NO
2010-04-01,MANIPUR,BISHNUPUR,0.0,60.29,3.95,24.28,NO
2010-05-01,MANIPUR,BISHNUPUR,0.0,58.2,6.33,24.93,NO
2010-06-01,MANIPUR,BISHNUPUR,0.0,56.7,4.78,25.68,NO
2010-07-01,MANIPUR,BISHNUPUR,0.0,53.56,6.2,26.15,NO
2010-08-01,MANIPUR,BISHNUPUR,0.0,51.64,5.0,26.6,NO
2010-09-01,MANIPUR,BISHNUPUR,0.0,50.56,5.6,26.38,NO
2010-10-01,MANIPUR,BISHNUPUR,0.0,55.81,5.23,25.48,NO
2010-11-01,MANIPUR,BISHNUPUR,0.0,58.92,4.28,23.95,NO
2010-12-01,MANIPUR,BISHNUPUR,0.0,54.55,3.68,24.28,NO
2010-01-13,MANIPUR,BISHNUPUR,0.0,45.72,2.9,24.18,NO
2010-01-14,MANIPUR,BISHNUPUR,0.0,54.66,7.2,25.13,YES
2010-01-15,MANIPUR,BISHNUPUR,0.0,55.45,6.78,25.9,NO
2010-01-16,MANIPUR,BISHNUPUR,0.0,54.33,12.85,26.05,YES
2010-01-17,MANIPUR,BISHNUPUR,0.0,51.81,5.58,26.28,NO
2010-01-18,MANIPUR,BISHNUPUR,0.0,57.38,11.83,26.23,NO
2010-01-19,MANIPUR,BISHNUPUR,0.0,61.1,7.23,26.43,NO
2010-01-20,MANIPUR,BISHNUPUR,0.0,56.31,8.28,26.53,NO
2010-01-21,MANIPUR,BISHNUPUR,0.0,52.71,6.85,27.4,NO
2010-01-22,MANIPUR,BISHNUPUR,0.0,53.65,5.28,26.88,NO
2010-01-23,MANIPUR,BISHNUPUR,0.0,52.35,6.05,27.8,NO
2010-01-24,MANIPUR,BISHNUPUR,0.0,47.58,5.78,26.88,NO
2010-01-25,MANIPUR,BISHNUPUR,4.23,47.39,7.28,27.25,NO
2010-01-26,MANIPUR,BISHNUPUR,4.05,58.06,9.18,27.0,NO
2010-01-27,MANIPUR,BISHNUPUR,0.0,46.81,6.18,25.58,NO
2010-01-28,MANIPUR,BISHNUPUR,0.0,47.88,5.3,26.2,YES
2010-01-29,MANIPUR,BISHNUPUR,0.0,47.9,5.78,26.88,NO
2010-01-30,MANIPUR,BISHNUPUR,0.0,48.91,5.78,26.48,YES
2010-01-31,MANIPUR,BISHNUPUR,0.0,47.91,4.78,26.25,NO
2010-01-02,MANIPUR,BISHNUPUR,0.0,48.86,5.25,26.3,NO
2010-02-02,MANIPUR,BISHNUPUR,0.0,51.96,5.28,25.88,NO
2010-03-02,MANIPUR,BISHNUPUR,0.0,48.71,4.8,25.45,NO
2010-04-02,MANIPUR,BISHNUPUR,0.0,45.71,4.38,25.5,NO
2010-05-02,MANIPUR,BISHNUPUR,0.0,42.84,4.78,24.3,NO
2010-06-02,MANIPUR,BISHNUPUR,0.0,36.95,4.5,25.15,NO
2010-07-02,MANIPUR,BISHNUPUR,0.0,42.53,4.78,26.8,NO
2010-08-02,MANIPUR,BISHNUPUR,0.0,41.66,5.05,27.5,NO
2010-09-02,MANIPUR,BISHNUPUR,0.0,48.11,6.55,26.53,NO
2010-10-02,MANIPUR,BISHNUPUR,0.0,55.83,7.45,26.58,NO
2010-11-02,MANIPUR,BISHNUPUR,0.0,53.7,8.13,27.63,NO
2010-12-02,MANIPUR,BISHNUPUR,0.0,47.31,5.58,28.5,NO
2010-02-13,MANIPUR,BISHNUPUR,0.0,51.65,6.53,27.08,NO
2010-02-14,MANIPUR,BISHNUPUR,0.0,62.49,10.15,25.63,NO
2010-02-15,MANIPUR,BISHNUPUR,0.0,59.66,12.3,26.88,NO
2010-02-16,MANIPUR,BISHNUPUR,0.0,51.76,9.4,27.58,YES
2010-02-17,MANIPUR,BISHNUPUR,0.53,64.05,13.68,27.28,NO
2010-02-18,MANIPUR,BISHNUPUR,0.55,61.28,14.33,24.03,NO
2010-02-19,MANIPUR,BISHNUPUR,0.0,39.18,8.7,25.68,NO
2010-02-20,MANIPUR,BISHNUPUR,0.0,36.08,6.25,26.98,NO
2010-02-21,MANIPUR,BISHNUPUR,0.0,44.28,6.88,26.68,NO
2010-02-22,MANIPUR,BISHNUPUR,0.0,48.23,6.45,29.73,NO
2010-02-23,MANIPUR,BISHNUPUR,0.0,52.41,7.95,26.78,NO
2010-02-24,MANIPUR,BISHNUPUR,3.15,52.93,8.15,26.85,NO
2010-02-25,MANIPUR,BISHNUPUR,3.0,66.54,10.53,27.45,NO
2010-02-26,MANIPUR,BISHNUPUR,0.0,59.41,11.7,28.35,NO
2010-02-27,MANIPUR,BISHNUPUR,0.0,52.24,10.35,28.45,NO
2010-02-28,MANIPUR,BISHNUPUR,0.0,53.09,10.43,27.8,NO
2010-01-03,MANIPUR,BISHNUPUR,0.0,55.21,10.75,28.6,NO
2010-02-03,MANIPUR,BISHNUPUR,0.0,54.26,11.68,30.5,NO
2010-03-03,MANIPUR,BISHNUPUR,0.0,51.23,14.4,30.78,YES
2010-04-03,MANIPUR,BISHNUPUR,0.0,56.84,19.83,34.6,NO
2010-05-03,MANIPUR,BISHNUPUR,6.65,66.48,20.3,27.3,NO
2010-06-03,MANIPUR,BISHNUPUR,8.35,76.98,16.98,26.18,NO
2010-07-03,MANIPUR,BISHNUPUR,3.83,67.4,17.1,28.0,NO
2010-08-03,MANIPUR,BISHNUPUR,1.8,59.02,19.05,29.43,NO
2010-09-03,MANIPUR,BISHNUPUR,0.0,44.1,12.23,30.35,NO
2010-10-03,MANIPUR,BISHNUPUR,0.0,37.32,10.35,30.13,NO
2010-11-03,MANIPUR,BISHNUPUR,0.0,38.48,10.38,30.38,NO
2010-12-03,MANIPUR,BISHNUPUR,0.0,35.61,9.55,30.03,YES
2010-03-13,MANIPUR,BISHNUPUR,0.0,35.72,9.73,29.68,NO
2010-03-14,MANIPUR,BISHNUPUR,0.0,31.64,10.98,30.85,YES
2010-03-15,MANIPUR,BISHNUPUR,0.0,46.33,11.38,30.7,NO
2010-03-16,MANIPUR,BISHNUPUR,0.0,45.81,14.1,31.28,NO
2010-03-17,MANIPUR,BISHNUPUR,0.0,42.02,11.6,32.78,NO
2010-03-18,MANIPUR,BISHNUPUR,0.0,41.38,12.73,32.7,NO
2010-03-19,MANIPUR,BISHNUPUR,0.0,37.56,11.55,32.68,NO
2010-03-20,MANIPUR,BISHNUPUR,0.0,36.14,11.75,34.18,NO
2010-03-21,MANIPUR,BISHNUPUR,0.0,33.99,13.05,34.05,NO
2010-03-22,MANIPUR,BISHNUPUR,0.0,44.19,13.28,33.1,NO
2010-03-23,MANIPUR,BISHNUPUR,0.0,50.61,14.88,34.23,NO
2010-03-24,MANIPUR,BISHNUPUR,0.0,55.99,15.6,33.28,YES
2010-03-25,MANIPUR,BISHNUPUR,0.0,51.11,16.23,35.3,NO
2010-03-26,MANIPUR,BISHNUPUR,0.0,55.48,16.68,34.8,NO
2010-03-27,MANIPUR,BISHNUPUR,5.98,68.17,18.13,32.9,NO
2010-03-28,MANIPUR,BISHNUPUR,22.63,64.97,16.18,21.7,NO
2010-03-29,MANIPUR,BISHNUPUR,24.53,80.11,13.8,26.33,NO
2010-03-30,MANIPUR,BISHNUPUR,19.38,78.34,14.68,23.03,NO
2010-03-31,MANIPUR,BISHNUPUR,55.48,82.07,14.83,19.28,NO
2010-01-04,MANIPUR,BISHNUPUR,46.98,80.38,16.0,26.33,NO
2010-02-04,MANIPUR,BISHNUPUR,28.75,81.14,16.5,22.28,NO
2010-03-04,MANIPUR,BISHNUPUR,9.83,78.38,16.48,29.85,NO
2010-04-04,MANIPUR,BISHNUPUR,0.0,77.77,16.8,30.25,NO
2010-05-04,MANIPUR,BISHNUPUR,0.0,76.03,19.25,30.98,NO
2010-06-04,MANIPUR,BISHNUPUR,0.0,64.73,19.65,32.28,NO
2010-07-04,MANIPUR,BISHNUPUR,0.0,64.08,20.3,31.5,NO
2010-08-04,MANIPUR,BISHNUPUR,0.0,54.36,18.13,32.88,NO
2010-09-04,MANIPUR,BISHNUPUR,0.0,62.42,19.33,34.33,NO
2010-10-04,MANIPUR,BISHNUPUR,0.0,67.21,21.38,33.7,NO
2010-11-04,MANIPUR,BISHNUPUR,0.0,68.54,22.8,34.35,NO
2010-12-04,MANIPUR,BISHNUPUR,0.0,69.1,21.35,32.08,NO
2010-04-13,MANIPUR,BISHNUPUR,0.0,73.05,24.65,32.3,NO
2010-04-14,MANIPUR,BISHNUPUR,2.6,82.27,20.2,32.38,NO
2010-04-15,MANIPUR,BISHNUPUR,5.73,77.11,20.33,32.28,NO
2010-04-16,MANIPUR,BISHNUPUR,4.53,65.01,18.2,30.25,NO
2010-04-17,MANIPUR,BISHNUPUR,11.48,74.21,18.35,28.18,NO
2010-04-18,MANIPUR,BISHNUPUR,23.7,83.49,17.43,27.13,NO
2010-04-19,MANIPUR,BISHNUPUR,31.28,82.08,18.45,21.85,NO
2010-04-20,MANIPUR,BISHNUPUR,26.9,80.2,17.7,22.85,NO
2010-04-21,MANIPUR,BISHNUPUR,21.1,82.48,17.3,29.35,NO
2010-04-22,MANIPUR,BISHNUPUR,3.3,80.16,20.45,32.5,NO
2010-04-23,MANIPUR,BISHNUPUR,4.4,77.89,19.03,31.68,NO
2010-04-24,MANIPUR,BISHNUPUR,13.18,81.11,20.6,30.75,NO
2010-04-25,MANIPUR,BISHNUPUR,20.6,85.39,16.88,23.73,NO
2010-04-26,MANIPUR,BISHNUPUR,10.53,81.99,18.08,27.0,NO
2010-04-27,MANIPUR,BISHNUPUR,2.38,78.1,17.8,26.88,NO
2010-04-28,MANIPUR,BISHNUPUR,0.0,74.47,15.55,39.5,NO
2010-04-29,MANIPUR,BISHNUPUR,0.0,83.32,19.35,28.13,NO
2010-04-30,MANIPUR,BISHNUPUR,0.0,81.35,17.7,28.1,NO
2010-01-05,MANIPUR,BISHNUPUR,0.0,77.69,18.85,28.98,NO
2010-02-05,MANIPUR,BISHNUPUR,0.0,86.43,20.15,26.13,NO
2010-03-05,MANIPUR,BISHNUPUR,5.13,83.68,19.25,30.98,NO
2010-04-05,MANIPUR,BISHNUPUR,2.03,79.69,20.33,30.13,NO
2010-05-05,MANIPUR,BISHNUPUR,0.0,83.16,23.65,31.9,NO
2010-06-05,MANIPUR,BISHNUPUR,2.7,84.87,21.25,29.55,NO
2010-07-05,MANIPUR,BISHNUPUR,2.7,82.58,21.28,29.68,NO
2010-08-05,MANIPUR,BISHNUPUR,0.0,81.14,19.98,31.3,NO
2010-09-05,MANIPUR,BISHNUPUR,0.0,80.74,20.85,30.58,NO
2010-10-05,MANIPUR,BISHNUPUR,10.98,79.68,21.2,28.4,NO
2010-11-05,MANIPUR,BISHNUPUR,8.88,79.64,21.85,27.13,NO
2010-12-05,MANIPUR,BISHNUPUR,14.08,80.45,20.38,27.53,NO
2010-05-13,MANIPUR,BISHNUPUR,19.15,82.95,21.03,31.15,NO
2010-05-14,MANIPUR,BISHNUPUR,11.33,82.13,18.93,30.43,NO
2010-05-15,MANIPUR,BISHNUPUR,7.9,79.58,19.7,35.03,NO
2010-05-16,MANIPUR,BISHNUPUR,2.85,76.01,19.45,29.0,NO
2010-05-17,MANIPUR,BISHNUPUR,0.0,77.98,24.33,32.43,NO
2010-05-18,MANIPUR,BISHNUPUR,4.23,78.03,20.88,31.8,NO
2010-05-19,MANIPUR,BISHNUPUR,1.5,78.8,21.23,29.45,NO
2010-05-20,MANIPUR,BISHNUPUR,10.63,88.49,21.68,28.25,NO
2010-05-21,MANIPUR,BISHNUPUR,17.18,88.03,20.45,24.53,NO
2010-05-22,MANIPUR,BISHNUPUR,4.18,85.57,20.45,30.95,NO
2010-05-23,MANIPUR,BISHNUPUR,0.0,82.09,21.48,31.5,NO
2010-05-24,MANIPUR,BISHNUPUR,15.0,93.09,22.18,26.68,NO
2010-05-25,MANIPUR,BISHNUPUR,13.3,84.21,21.2,32.0,NO
2010-05-26,MANIPUR,BISHNUPUR,34.1,87.19,20.8,28.28,NO
