date,state,district,rainfall,RH,tmin,tmax,occurred
01-01-2012,MEGHALAYA,EAST GARO HILLS,0.87,69.71,12.43,22,NO
02-01-2012,MEGHALAYA,EAST GARO HILLS,3.92,86.15,14.52,16.95,NO
03-01-2012,MEGHALAYA,EAST GARO HILLS,1.05,73.64,13.85,20.68,NO
04-01-2012,MEGHALAYA,EAST GARO HILLS,0,69.13,12.59,20.66,NO
05-01-2012,MEGHALAYA,EAST GARO HILLS,0,75.43,10.91,20.99,NO
06-01-2012,MEGHALAYA,EAST GARO HILLS,0.01,79.77,11.29,21.26,NO
07-01-2012,MEGHALAYA,EAST GARO HILLS,0,82.25,10.97,20.8,NO
08-01-2012,MEGHALAYA,EAST GARO HILLS,0,75.66,11.38,22.19,NO
09-01-2012,MEGHALAYA,EAST GARO HILLS,0.18,72.53,11.02,19.86,NO
10-01-2012,MEGHALAYA,EAST GARO HILLS,0.1,76.39,10.37,20.42,NO
11-01-2012,MEGHALAYA,EAST GARO HILLS,0.08,81.5,11.88,22.83,NO
12-01-2012,MEGHALAYA,EAST GARO HILLS,0,76.98,11.86,20.29,NO
13-01-2012,MEGHALAYA,EAST GARO HILLS,0,67.76,11.01,18.05,NO
14-01-2012,MEGHALAYA,EAST GARO HILLS,0.26,68.92,10.57,19,NO
15-01-2012,MEGHALAYA,EAST GARO HILLS,0,70.44,7.17,19.78,NO
16-01-2012,MEGHALAYA,EAST GARO HILLS,0,64.91,7.63,20.31,NO
17-01-2012,MEGHALAYA,EAST GARO HILLS,0,60,12.48,18.82,NO
18-01-2012,MEGHALAYA,EAST GARO HILLS,0,64.27,12.01,21.14,NO
19-01-2012,MEGHALAYA,EAST GARO HILLS,0.03,69.14,11.66,17.29,NO
20-01-2012,MEGHALAYA,EAST GARO HILLS,0.72,75.36,11.43,19.99,NO
21-01-2012,MEGHALAYA,EAST GARO HILLS,0.02,75.53,10.57,18.45,NO
22-01-2012,MEGHALAYA,EAST GARO HILLS,0,73.61,8.09,19.08,NO
23-01-2012,MEGHALAYA,EAST GARO HILLS,0,70.05,9.27,20.22,NO
24-01-2012,MEGHALAYA,EAST GARO HILLS,0,58.65,10.73,20.31,NO
25-01-2012,MEGHALAYA,EAST GARO HILLS,0,55.73,10.78,21.15,NO
26-01-2012,MEGHALAYA,EAST GARO HILLS,0,53.16,9.98,20.26,NO
27-01-2012,MEGHALAYA,EAST GARO HILLS,0,60.17,11.17,21.89,NO
28-01-2012,MEGHALAYA,EAST GARO HILLS,0,66.8,10.25,23.12,NO
29-01-2012,MEGHALAYA,EAST GARO HILLS,0,70.34,10.32,23.22,NO
30-01-2012,MEGHALAYA,EAST GARO HILLS,0,67.63,9.08,23.33,NO
31-01-2012,MEGHALAYA,EAST GARO HILLS,0,62.1,9.29,23.88,NO
01-02-2012,MEGHALAYA,EAST GARO HILLS,0,50.64,10.85,23.49,NO
02-02-2012,MEGHALAYA,EAST GARO HILLS,0,55.65,9.84,22.69,NO
03-02-2012,MEGHALAYA,EAST GARO HILLS,0,60.48,10.49,23.96,NO
04-02-2012,MEGHALAYA,EAST GARO HILLS,0,63.42,10.35,23.43,NO
05-02-2012,MEGHALAYA,EAST GARO HILLS,0,53.67,10.09,24.13,NO
06-02-2012,MEGHALAYA,EAST GARO HILLS,0,56.4,11.25,26.18,NO
07-02-2012,MEGHALAYA,EAST GARO HILLS,0,54.73,13.06,25.32,NO
08-02-2012,MEGHALAYA,EAST GARO HILLS,0,58.09,13.05,23.85,NO
09-02-2012,MEGHALAYA,EAST GARO HILLS,11.04,75.02,14.28,24.09,NO
10-02-2012,MEGHALAYA,EAST GARO HILLS,0,46.55,11.42,21.99,YES
11-02-2012,MEGHALAYA,EAST GARO HILLS,0,43.55,9.01,22.17,NO
12-02-2012,MEGHALAYA,EAST GARO HILLS,0,54.33,8.34,22.2,NO
13-02-2012,MEGHALAYA,EAST GARO HILLS,0,54.58,9.28,22.53,NO
14-02-2012,MEGHALAYA,EAST GARO HILLS,0,49.43,10.2,24.03,NO
15-02-2012,MEGHALAYA,EAST GARO HILLS,0,61.1,12.28,24.18,NO
16-02-2012,MEGHALAYA,EAST GARO HILLS,0,63.93,12.69,25.07,NO
17-02-2012,MEGHALAYA,EAST GARO HILLS,0,64.49,14.13,24.81,NO
18-02-2012,MEGHALAYA,EAST GARO HILLS,0.55,49.83,14.42,25.01,NO
19-02-2012,MEGHALAYA,EAST GARO HILLS,0,43.58,11.79,26.99,YES
20-02-2012,MEGHALAYA,EAST GARO HILLS,0,49.48,11.68,25.04,NO
21-02-2012,MEGHALAYA,EAST GARO HILLS,0,53.53,13.48,25.26,NO
22-02-2012,MEGHALAYA,EAST GARO HILLS,0,56.23,13.01,24.5,NO
23-02-2012,MEGHALAYA,EAST GARO HILLS,0,51.19,14.36,24.62,NO
24-02-2012,MEGHALAYA,EAST GARO HILLS,0,44.64,15.17,26.41,YES
25-02-2012,MEGHALAYA,EAST GARO HILLS,0,41.41,14.7,26.03,NO
26-02-2012,MEGHALAYA,EAST GARO HILLS,0,39.01,14.7,26.48,YES
27-02-2012,MEGHALAYA,EAST GARO HILLS,0.01,35.09,12.34,26.21,NO
