date,state,district,rainfall,RH,tmin,tmax,occurred
01-01-2016,ODISHA,ANUGUL,0,48.02,13.14,25.96,YES
02-01-2016,ODISHA,ANUGUL,0,54.79,10.95,25.01,YES
03-01-2016,ODISHA,ANUGUL,0,56.14,11.6,25.75,YES
04-01-2016,ODISHA,ANUGUL,0,46.88,11.79,25.55,YES
05-01-2016,ODISHA,ANUGUL,0,49.34,12.08,26.85,NO
06-01-2016,ODISHA,ANUGUL,0,46.88,11.85,27.21,NO
07-01-2016,ODISHA,ANUGUL,0,48.81,12.7,26.98,NO
08-01-2016,ODISHA,ANUGUL,0,49.55,13.12,26.79,NO
09-01-2016,ODISHA,ANUGUL,0,52.16,13.33,26.74,NO
10-01-2016,ODISHA,ANUGUL,0,48.86,12.29,26.56,NO
11-01-2016,ODISHA,ANUGUL,0,43.22,11.13,26.38,NO
12-01-2016,ODISHA,ANUGUL,0,43.13,10.45,26.89,NO
13-01-2016,ODISHA,ANUGUL,0,41.84,11.67,24.96,NO
14-01-2016,ODISHA,ANUGUL,0,44.86,11.65,28.92,NO
15-01-2016,ODISHA,ANUGUL,0,49.91,12,24.29,NO
16-01-2016,ODISHA,ANUGUL,0,48.5,12.23,24.54,NO
17-01-2016,ODISHA,ANUGUL,0,61.31,13.34,24.68,NO
18-01-2016,ODISHA,ANUGUL,0,67.51,13.57,24.76,NO
19-01-2016,ODISHA,ANUGUL,0,66.53,14.12,24.52,NO
20-01-2016,ODISHA,ANUGUL,0.92,73.2,15.09,22.38,NO
21-01-2016,ODISHA,ANUGUL,0.03,52.43,13.07,20.14,NO
22-01-2016,ODISHA,ANUGUL,0,46.6,7.85,22.92,YES
23-01-2016,ODISHA,ANUGUL,0,38.88,8.2,23.69,YES
24-01-2016,ODISHA,ANUGUL,0,36.96,7.35,19.54,NO
25-01-2016,ODISHA,ANUGUL,0,40.02,7.7,23.67,YES
26-01-2016,ODISHA,ANUGUL,0,57.74,9.65,24.51,YES
27-01-2016,ODISHA,ANUGUL,0,62.2,12.64,26.69,YES
28-01-2016,ODISHA,ANUGUL,0,48.3,13.86,25.59,YES
29-01-2016,ODISHA,ANUGUL,0,46.32,12.62,27.46,YES
30-01-2016,ODISHA,ANUGUL,0,42.18,13.06,28.38,NO
31-01-2016,ODISHA,ANUGUL,0,40.15,14.63,29.16,NO
01-02-2016,ODISHA,ANUGUL,0,47.82,15.33,31.89,NO
02-02-2016,ODISHA,ANUGUL,0,54.78,17.92,31.49,NO
03-02-2016,ODISHA,ANUGUL,0,58.07,19.75,30.61,NO
04-02-2016,ODISHA,ANUGUL,0,63.01,19.54,26.68,NO
05-02-2016,ODISHA,ANUGUL,0,60.24,11.56,27.84,YES
06-02-2016,ODISHA,ANUGUL,0,63.4,14.2,28.58,NO
07-02-2016,ODISHA,ANUGUL,0,67.03,16.12,27.34,YES
